"Search query: (ABCB1[Title/Abstract] OR ""P-glycoprotein""[Title/Abstract] OR MDR1[Title/Abstract]) AND (cancer OR tumor OR carcinoma) AND (resistance OR chemoresistance)"
Year,Count
2025,363
2024,398
2023,426
2022,497
2021,547
2020,608
2019,613
2018,596
2017,586
2016,627
2015,629
2014,626
2013,594
2012,553
2011,500
2010,506
2009,454
2008,418
2007,455
2006,402
2005,421
2004,396
2003,341
2002,380
2001,406
2000,379
1999,356
1998,408
1997,436
1996,435
1995,399
1994,416
1993,322
1992,260
1991,211
1990,175
1989,137
1988,52
1987,40
1986,9
1985,4
1984,3
1983,3
